"cid","name","chamber","avg04","avg12","growth","chgpct","category","Origin","Source"
"N00024759","Rogers, Mike D (R-Ala)","H","2507024","2518011","10987","0.4","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007151","Rohrabacher, Dana (R-Calif)","H","42222","150500","108278","256.4",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002858","Ros-Lehtinen, Ileana (R-Fla)","H","197006","466502","269496","136.8",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009571","Ross, Mike (D-Ark)","H","1122506","-89999","-1212505","-108.0",">100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00008619","Rothman, Steven R (D-NJ)","H","4250047","2946019","-1304028","-30.7","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006671","Roybal-Allard, Lucille (D-Calif)","H","489505","343005","-146500","-29.9","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00008264","Royce, Ed (R-Calif)","H","121004","390509","269505","222.7",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025482","Ruppersberger, Dutch (D-Md)","H","1739012","1782010","42998","2.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004357","Ryan, Paul (R-Wisc)","H","1604545","5405548","3801003","236.9",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025280","Ryan, Tim (D-Ohio)","H","64502","16501","-48001","-74.4","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00024870","Sanchez, Linda (D-Calif)","H","-32500","233009","265509","817.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00008274","Sanchez, Loretta (D-Calif)","H","196505","2991501","2794996","1422.4",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000528","Sanders, Bernie (I-Vt)","S","115501","460506","345005","298.7",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004724","Schakowsky, Jan (D-Ill)","H","71008","236012","165004","232.4",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009585","Schiff, Adam (D-Calif)","H","990513","1119013","128500","13.0","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026106","Schultz, Debbie Wasserman (D-Fla)","H","194004","21005","-172999","-89.2","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001093","Schumer, Charles E (D-NY)","S","475011","702008","226997","47.8","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001579","Schwartz, Allyson (D-Pa)","H","2197516","3044525","847009","38.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00024871","Scott, David (D-Ga)","H","107262","758001","650739","606.7",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002147","Scott, Robert C (D-Va)","H","515536","-129973","-645509","-125.2",">100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004291","Sensenbrenner, F James Jr (R-Wis)","H","27493129","18558166","-8934963","-32.5","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001813","Serrano, Jose E (D-NY)","H","96504","32500","-64004","-66.3","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003062","Sessions, Jeff (R-Ala)","S","2049035","7080031","5030996","245.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005681","Sessions, Pete (R-Texas)","H","894526","1648529","754003","84.3","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009920","Shelby, Richard C (R-Ala)","S","22472010","6396023","-16075987","-71.5","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006897","Sherman, Brad (D-Calif)","H","2115506","1731007","-384499","-18.2","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004961","Shimkus, John M (R-Ill)","H","612004","733504","121500","19.9","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00013770","Shuster, Bill (R-Pa)","H","3371703","1136513","-2235190","-66.3","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006263","Simpson, Mike (R-Idaho)","H","1169190","2571288","1402098","119.9",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001311","Slaughter, Louise M (D-NY)","H","1912008","2779510","867502","45.4","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007833","Smith, Adam (D-Wash)","H","251507","354505","102998","41.0","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009816","Smith, Chris (R-NJ)","H","288503","64273","-224230","-77.7","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001811","Smith, Lamar (R-Texas)","H","4113319","4450054","336735","8.2","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000480","Snowe, Olympia J (R-Maine)","S","19699533","14598028","-5101505","-25.9","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009586","Solis, Hilda L","E","223002","310502","87500","39.2","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004118","Stabenow, Debbie (D-Mich)","S","215501","32500","-183001","-84.9","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007397","Stark, Pete (D-Calif)","H","-9499988","3605010","13104998","137.9",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002782","Stearns, Cliff (R-Fla)","H","2794525","5493012","2698487","96.6","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00013847","Sullivan, John (R-Okla)","H","65001","32500","-32501","-50.0","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005321","Terry, Lee (R-Neb)","H","181508","168507","-13001","-7.2","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003288","Thompson, Bennie G (D-Miss)","H","959510","647014","-312496","-32.6","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007419","Thompson, Mike (D-Calif)","H","1783012","2238005","454993","25.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006052","Thornberry, Mac (R-Texas)","H","83500","447503","364003","435.9",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004572","Thune, John (R-SD)","S","514511","384509","-130002","-25.3","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009699","Tiberi, Patrick J (R-Ohio)","H","743507","1014515","271008","36.4","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000226","Tierney, John F (D-Mass)","H","825509","1362504","536995","65.1","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001489","Toomey, Pat (R-Pa)","S","2016019","2977025","961006","47.7","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001082","Towns, Edolphus (D-NY)","H","-269497","1140507","1410004","523.2",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00025175","Turner, Michael R (R-Ohio)","H","969530","139503","-830027","-85.6","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00008051","Udall, Mark (D-Colo)","S","1548541","1784528","235987","15.2","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006561","Udall, Tom (D-NM)","S","2699405","2881022","181617","6.7","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004133","Upton, Fred (R-Mich)","H","9972037","18330586","8358549","83.8","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00013820","Van Hollen, Chris (D-Md)","H","664506","114003","-550503","-82.8","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
